size,dirt_rate,run,performance,total_actions,execution_time,successful_actions,success_rate,agent_class,strategy
2x2,0.1,1,0,0,0.008631229400634766,0,0,RandomAgent,Elige acciones al azar
2x2,0.1,2,0,0,0.0065631866455078125,0,0,RandomAgent,Elige acciones al azar
2x2,0.1,3,0,0,0.009803295135498047,0,0,RandomAgent,Elige acciones al azar
2x2,0.1,4,0,0,0.0062410831451416016,0,0,RandomAgent,Elige acciones al azar
2x2,0.1,5,0,0,0.0078084468841552734,0,0,RandomAgent,Elige acciones al azar
2x2,0.1,6,0,0,0.007495880126953125,0,0,RandomAgent,Elige acciones al azar
2x2,0.1,7,0,0,0.0067729949951171875,0,0,RandomAgent,Elige acciones al azar
2x2,0.1,8,0,0,0.0061533451080322266,0,0,RandomAgent,Elige acciones al azar
2x2,0.1,9,0,0,0.008002519607543945,0,0,RandomAgent,Elige acciones al azar
2x2,0.1,10,0,0,0.00836324691772461,0,0,RandomAgent,Elige acciones al azar
2x2,0.2,1,0,0,0.0061800479888916016,0,0,RandomAgent,Elige acciones al azar
2x2,0.2,2,0,0,0.0062367916107177734,0,0,RandomAgent,Elige acciones al azar
2x2,0.2,3,0,0,0.008159875869750977,0,0,RandomAgent,Elige acciones al azar
2x2,0.2,4,0,0,0.007252216339111328,0,0,RandomAgent,Elige acciones al azar
2x2,0.2,5,0,0,0.0059931278228759766,0,0,RandomAgent,Elige acciones al azar
2x2,0.2,6,0,0,0.007405281066894531,0,0,RandomAgent,Elige acciones al azar
2x2,0.2,7,0,0,0.005977630615234375,0,0,RandomAgent,Elige acciones al azar
2x2,0.2,8,0,0,0.007284402847290039,0,0,RandomAgent,Elige acciones al azar
2x2,0.2,9,0,0,0.006258487701416016,0,0,RandomAgent,Elige acciones al azar
2x2,0.2,10,0,0,0.007371664047241211,0,0,RandomAgent,Elige acciones al azar
2x2,0.4,1,1,11,0.05020880699157715,11,1.0,RandomAgent,Elige acciones al azar
2x2,0.4,2,1,20,0.08284664154052734,20,1.0,RandomAgent,Elige acciones al azar
2x2,0.4,3,1,22,0.09017062187194824,22,1.0,RandomAgent,Elige acciones al azar
2x2,0.4,4,1,2,0.015334367752075195,2,1.0,RandomAgent,Elige acciones al azar
2x2,0.4,5,1,41,0.1610567569732666,41,1.0,RandomAgent,Elige acciones al azar
2x2,0.4,6,1,46,0.19037795066833496,46,1.0,RandomAgent,Elige acciones al azar
2x2,0.4,7,1,70,0.2765471935272217,70,1.0,RandomAgent,Elige acciones al azar
2x2,0.4,8,1,29,0.125014066696167,29,1.0,RandomAgent,Elige acciones al azar
2x2,0.4,9,1,49,0.2075178623199463,49,1.0,RandomAgent,Elige acciones al azar
2x2,0.4,10,1,48,0.20064282417297363,48,1.0,RandomAgent,Elige acciones al azar
2x2,0.8,1,3,45,0.19380450248718262,45,1.0,RandomAgent,Elige acciones al azar
2x2,0.8,2,3,31,0.13509130477905273,31,1.0,RandomAgent,Elige acciones al azar
2x2,0.8,3,3,18,0.08098459243774414,18,1.0,RandomAgent,Elige acciones al azar
2x2,0.8,4,3,76,0.31252193450927734,76,1.0,RandomAgent,Elige acciones al azar
2x2,0.8,5,3,45,0.1915874481201172,45,1.0,RandomAgent,Elige acciones al azar
2x2,0.8,6,3,46,0.19837117195129395,46,1.0,RandomAgent,Elige acciones al azar
2x2,0.8,7,3,71,0.29477691650390625,71,1.0,RandomAgent,Elige acciones al azar
2x2,0.8,8,3,55,0.24691128730773926,55,1.0,RandomAgent,Elige acciones al azar
2x2,0.8,9,3,59,0.2619309425354004,59,1.0,RandomAgent,Elige acciones al azar
2x2,0.8,10,3,26,0.12262177467346191,26,1.0,RandomAgent,Elige acciones al azar
4x4,0.1,1,1,63,0.2776451110839844,63,1.0,RandomAgent,Elige acciones al azar
4x4,0.1,2,1,433,1.8642611503601074,433,1.0,RandomAgent,Elige acciones al azar
